,GeoFips,GeoName,TimePeriod,CAINC1-1,CAINC1-2,CAINC1-3
0,36000,New York,1969,83626257,18105000,4619
1,36000,New York,1970,89895425,18271605,4920
2,36000,New York,1971,96121001,18364865,5234
3,36000,New York,1972,102833594,18351767,5603
4,36000,New York,1973,109571703,18194767,6022
5,36000,New York,1974,118064617,18072768,6533
6,36000,New York,1975,127413860,18032254,7066
7,36000,New York,1976,134980837,17974654,7510
8,36000,New York,1977,145640377,17851507,8158
9,36000,New York,1978,158583699,17720421,8949
10,36000,New York,1979,173361931,17633646,9831
11,36000,New York,1980,193258499,17566754,11001
12,36000,New York,1981,215680555,17567731,12277
13,36000,New York,1982,234418022,17589737,13327
14,36000,New York,1983,252683225,17686907,14286
15,36000,New York,1984,279483612,17745676,15749
16,36000,New York,1985,299163538,17791678,16815
17,36000,New York,1986,319479383,17833421,17915
18,36000,New York,1987,340642807,17868844,19064
19,36000,New York,1988,373665398,17941309,20827
20,36000,New York,1989,403909989,17983084,22461
21,36000,New York,1990,432317759,18020784,23990
22,36000,New York,1991,432542636,18122510,23868
23,36000,New York,1992,457271416,18246653,25061
24,36000,New York,1993,470053879,18374954,25581
25,36000,New York,1994,484730601,18459470,26259
26,36000,New York,1995,510818279,18524104,27576
27,36000,New York,1996,537881580,18588460,28936
28,36000,New York,1997,567955826,18656546,30443
29,36000,New York,1998,600946914,18755906,32040
30,36000,New York,1999,637109240,18882725,33740
31,36000,New York,2000,685783350,19001780,36090
32,36000,New York,2001,711466252,19082838,37283
33,36000,New York,2002,709784990,19137800,37088
34,36000,New York,2003,720548897,19175939,37576
35,36000,New York,2004,754007427,19171567,39329
36,36000,New York,2005,782224915,19132610,40884
37,36000,New York,2006,843047510,19104631,44128
38,36000,New York,2007,907402575,19132335,47428
39,36000,New York,2008,925727617,19212436,48184
40,36000,New York,2009,907953383,19307066,47027
41,36000,New York,2010,947076555,19419964,48768
42,36000,New York,2011,997755770,19600908,50904
43,36000,New York,2012,1049158190,19757479,53102
44,36000,New York,2013,1062135398,19892169,53395
45,36000,New York,2014,1105907821,20002008,55290
46,36000,New York,2015,1154722863,20088855,57481
47,36000,New York,2016,1194534615,20150838,59280
48,36000,New York,2017,1270251568,20190489,62913
49,36000,New York,2018,1311427484,20222664,64849
50,36000,New York,2019,1362298580,20222325,67366
51,36000,New York,2020,1442624642,20154933,71577
52,36000,New York,2021,1524128529,19835913,76837
53,36001,"Albany, NY",1969,1222715,286201,4272
54,36001,"Albany, NY",1970,1384440,287151,4821
55,36001,"Albany, NY",1971,1530814,288612,5304
56,36001,"Albany, NY",1972,1657409,290300,5709
